PCAP Date,LP Short Name,Field Num,Field, Amount 
6/30/2023,Dolce,2,Capital Calls,"870,000"
6/30/2023,Dolce,5,Distributions (Principal),0
6/30/2023,Dolce,6,Distributions (Income),-27819
6/30/2023,Dolce,7,Interest Income,"118,260"
6/30/2023,Dolce,8,Realized Gain / (Loss),0
6/30/2023,Dolce,10,Investment Expenses,"-14,292"
6/30/2023,Dolce,11,Management Fees,"-13,613"
6/30/2023,Dolce,12,Carried Interest,"-17,460"
6/30/2023,Dolce,15,Fund Expenses,"-3,058"
6/30/2023,Dolce,16,Ending Capital Balance,"2,799,838"
6/30/2023,Indiana,1,Beginning Capital Balance,"216,272,694"
6/30/2023,Indiana,2,Capital Calls,"43,500,000"
6/30/2023,Indiana,5,Distributions (Principal),-1875000
6/30/2023,Indiana,6,Distributions (Income),"-4,356,027"
6/30/2023,Indiana,7,Interest Income,"9,863,673"
6/30/2023,Indiana,8,Realized Gain / (Loss),0
6/30/2023,Indiana,10,Investment Expenses,"-741,992"
6/30/2023,Indiana,11,Management Fees,"-950,257"
6/30/2023,Indiana,12,Carried Interest,"-1,189,468"
6/30/2023,Indiana,15,Fund Expenses,"-241,639"
6/30/2023,Indiana,16,Ending Capital Balance,"260,281,985"
6/30/2023,Breeze,1,Beginning Capital Balance,"117,629,818"
6/30/2023,Breeze,2,Capital Calls,0
6/30/2023,Breeze,5,Distributions (Principal),"-1,268,709"
6/30/2023,Breeze,6,Distributions (Income),"-3,462,679"
6/30/2023,Breeze,7,Interest Income,"4,687,611"
6/30/2023,Breeze,8,Realized Gain / (Loss),0
6/30/2023,Breeze,10,Investment Expenses,"-26,665"
6/30/2023,Breeze,11,Management Fees,"-423,617"
6/30/2023,Breeze,12,Carried Interest,"-626,334"
6/30/2023,Breeze,15,Fund Expenses,"-61,769"
6/30/2023,Breeze,16,Ending Capital Balance,"116,447,657"
9/30/2023,Dolce,1,Beginning Capital Balance,"2,799,838"
9/30/2023,Dolce,2,Capital Calls,270000
9/30/2023,Dolce,5,Distributions (Principal),0
9/30/2023,Dolce,6,Distributions (Income),"-59,989"
9/30/2023,Dolce,7,Interest Income,"132,979"
9/30/2023,Dolce,8,Realized Gain / (Loss),0
9/30/2023,Dolce,10,Investment Expenses,"-4,419"
9/30/2023,Dolce,11,Management Fees,"-15,123"
9/30/2023,Dolce,12,Carried Interest,"-21,573"
9/30/2023,Dolce,15,Fund Expenses,"-2,889"
9/30/2023,Dolce,16,Ending Capital Balance,"3,098,823"
9/30/2023,Indiana,1,Beginning Capital Balance,"260,281,985"
9/30/2023,Indiana,2,Capital Calls,"10,995,000"
9/30/2023,Indiana,5,Distributions (Principal),550405
9/30/2023,Indiana,6,Distributions (Income),"-5,247,890"
9/30/2023,Indiana,7,Interest Income,"10,043,550"
9/30/2023,Indiana,8,Realized Gain / (Loss),0
9/30/2023,Indiana,10,Investment Expenses,"-238,564"
9/30/2023,Indiana,11,Management Fees,"-938,682"
9/30/2023,Indiana,12,Carried Interest,"-1,299,474"
9/30/2023,Indiana,15,Fund Expenses,"-203,144"
9/30/2023,Indiana,16,Ending Capital Balance,"273,943,185"
9/30/2023,Breeze,1,Beginning Capital Balance,"116,447,657"
9/30/2023,Breeze,2,Capital Calls,0
9/30/2023,Breeze,5,Distributions (Principal),-621418
9/30/2023,Breeze,6,Distributions (Income),"-3,032,990"
9/30/2023,Breeze,7,Interest Income,"5,039,670"
9/30/2023,Breeze,8,Realized Gain / (Loss),0
9/30/2023,Breeze,10,Investment Expenses,"-32,684"
9/30/2023,Breeze,11,Management Fees,"-425,189"
9/30/2023,Breeze,12,Carried Interest,"-677,917"
9/30/2023,Breeze,15,Fund Expenses,"-62,350"
9/30/2023,Breeze,16,Ending Capital Balance,"116,634,779"
12/31/2023,Dolce,1,Beginning Capital Balance,"3,098,823"
12/31/2023,Dolce,2,Capital Calls,"3,000,000"
12/31/2023,Dolce,5,Distributions (Principal),0
12/31/2023,Dolce,6,Distributions (Income),"-83,908"
12/31/2023,Dolce,7,Interest Income,"123,278"
12/31/2023,Dolce,8,Realized Gain / (Loss),0
12/31/2023,Dolce,10,Investment Expenses,-662
12/31/2023,Dolce,11,Management Fees,"-15,123"
12/31/2023,Dolce,12,Carried Interest,"-19,816"
12/31/2023,Dolce,15,Fund Expenses,"-4,005"
12/31/2023,Dolce,16,Ending Capital Balance,"3,098,587"
12/31/2023,Indiana,1,Beginning Capital Balance,"275,956,959"
12/31/2023,Indiana,2,Capital Calls,147495000
12/31/2023,Indiana,5,Distributions (Principal),"-4,698,789"
12/31/2023,Indiana,6,Distributions (Income),"-7,085,278"
12/31/2023,Indiana,7,Interest Income,"9,355,469"
12/31/2023,Indiana,8,Realized Gain / (Loss),0
12/31/2023,Indiana,10,Investment Expenses,"-47,731"
12/31/2023,Indiana,11,Management Fees,"-918,988"
12/31/2023,Indiana,12,Carried Interest,"-1,217,948"
12/31/2023,Indiana,15,Fund Expenses,"-269,092"
12/31/2023,Indiana,16,Ending Capital Balance,"268,569,602"
12/31/2023,Breeze,1,Beginning Capital Balance,"116,634,779"
12/31/2023,Breeze,2,Capital Calls,0
12/31/2023,Breeze,5,Distributions (Principal),-8972197
12/31/2023,Breeze,6,Distributions (Income),"-3,707,438"
12/31/2023,Breeze,7,Interest Income,"4,591,154"
12/31/2023,Breeze,8,Realized Gain / (Loss),0
12/31/2023,Breeze,10,Investment Expenses,"-24,133"
12/31/2023,Breeze,11,Management Fees,"-411,972"
12/31/2023,Breeze,12,Carried Interest,"-614,061"
12/31/2023,Breeze,15,Fund Expenses,"-61,313"
12/31/2023,Breeze,16,Ending Capital Balance,"107,434,820"
3/31/2024,Red Rose,1,Beginning Capital Balance,0
3/31/2024,Red Rose,2,Capital Calls,"165,000"
3/31/2024,Red Rose,5,Distributions (Principal),0
3/31/2024,Red Rose,6,Distributions (Income),0
3/31/2024,Red Rose,7,Interest Income,"4,344"
3/31/2024,Red Rose,8,Realized Gain / (Loss),0
3/31/2024,Red Rose,9,Unrealized Gain / (Loss),0
3/31/2024,Red Rose,10,Investment Expenses,"-1,705"
3/31/2024,Red Rose,11,Management Fees,-478
3/31/2024,Red Rose,13,Realized Carried Interest,0
3/31/2024,Red Rose,14,Unrealized Carried Interest,-409
3/31/2024,Red Rose,15,Fund Expenses,-116
3/31/2024,Red Rose,16,Ending Capital Balance,"166,637"
3/31/2024,Berry Blues,1,Beginning Capital Balance,0
3/31/2024,Berry Blues,2,Capital Calls,"330,000"
3/31/2024,Berry Blues,5,Distributions (Principal),0
3/31/2024,Berry Blues,6,Distributions (Income),0
3/31/2024,Berry Blues,7,Interest Income,"8,688"
3/31/2024,Berry Blues,8,Realized Gain / (Loss),0
3/31/2024,Berry Blues,9,Unrealized Gain / (Loss),0
3/31/2024,Berry Blues,10,Investment Expenses,"-3,409"
3/31/2024,Berry Blues,11,Management Fees,-956
3/31/2024,Berry Blues,13,Realized Carried Interest,0
3/31/2024,Berry Blues,14,Unrealized Carried Interest,-818
3/31/2024,Berry Blues,15,Fund Expenses,-231
3/31/2024,Berry Blues,16,Ending Capital Balance,"333,273"
3/31/2024,Dolce,1,Beginning Capital Balance,"3,098,587"
